iter	Passed	Remaining
0	5	5637
1	9	4555
2	13	4451
3	18	4528
4	22	4508
5	26	4436
6	31	4522
7	36	4543
8	40	4512
9	46	4645
10	51	4668
11	56	4655
12	60	4605
13	66	4650
14	69	4575
15	73	4514
16	77	4470
17	82	4484
18	85	4433
19	89	4382
20	93	4350
21	97	4340
22	101	4298
23	105	4300
24	109	4272
25	115	4313
26	120	4348
27	125	4355
28	130	4361
29	134	4341
30	138	4334
31	143	4326
32	147	4322
33	151	4305
34	155	4291
35	159	4276
36	164	4272
37	168	4274
38	172	4252
39	178	4292
40	183	4283
41	186	4260
42	190	4246
43	195	4246
44	199	4240
45	203	4215
46	209	4241
47	213	4227
48	217	4213
49	221	4209
50	225	4197
51	229	4185
52	233	4173
53	243	4260
54	248	4272
55	252	4249
56	256	4245
57	260	4228
58	263	4207
59	267	4186
60	270	4170
61	274	4150
62	277	4131
63	281	4111
64	284	4085
65	287	4068
66	290	4050
67	294	4032
68	297	4018
69	300	3998
70	304	3988
71	308	3972
72	311	3959
73	315	3944
74	318	3925
75	321	3913
76	325	3898
77	330	3904
78	333	3891
79	337	3879
80	340	3862
81	344	3858
82	347	3841
83	350	3824
84	354	3815
85	357	3803
86	360	3788
87	363	3772
88	366	3756
89	372	3766
90	375	3751
91	378	3737
92	381	3720
93	385	3711
94	388	3696
95	390	3681
96	393	3667
97	396	3652
98	400	3645
99	404	3640
100	407	3624
101	410	3610
102	412	3596
103	416	3588
104	419	3579
105	422	3567
106	425	3553
107	428	3539
108	431	3529
109	435	3526
110	438	3513
111	441	3502
112	444	3491
113	447	3478
114	451	3478
115	454	3466
116	457	3454
117	460	3445
118	463	3434
119	467	3428
120	470	3417
121	473	3405
122	476	3397
123	479	3389
124	483	3386
125	486	3376
126	489	3366
127	492	3357
128	495	3347
129	499	3343
130	502	3334
131	505	3325
132	508	3316
133	511	3306
134	514	3299
135	518	3294
136	521	3284
137	524	3274
138	527	3265
139	530	3260
140	533	3252
141	536	3243
