id,Salary_Changes
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,0
460,1
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,0
480,1
481,0
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,0
