id,Salary_Changes
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,0
528,1
529,0
530,0
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,0
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,1
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,0
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,0
587,1
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,1
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,0
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,1
749,0
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,1
762,0
763,0
764,1
765,0
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,0
790,0
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,1
811,0
812,0
813,0
814,1
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,0
823,0
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,0
836,1
837,1
838,0
839,0
840,1
841,1
842,0
843,1
844,1
845,1
846,0
847,1
848,0
849,0
850,1
851,1
852,1
853,0
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,1
862,0
863,1
864,0
865,1
866,1
867,1
868,1
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,1
877,1
878,0
879,1
880,1
881,0
882,0
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,0
891,1
892,1
893,1
894,0
895,1
896,0
897,0
898,1
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,1
908,0
909,1
910,1
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,1
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,0
935,1
936,1
937,1
938,0
939,1
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,0
957,1
958,0
959,1
960,1
961,1
962,1
963,0
964,0
965,1
966,0
967,0
968,1
969,0
970,1
971,1
972,1
973,0
974,0
975,0
976,1
977,1
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,1
1025,0
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,0
1066,1
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,0
1087,1
1088,0
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,0
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,0
1134,0
1135,1
1136,1
1137,1
1138,1
1139,1
1140,0
1141,1
1142,1
1143,1
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,1
1158,1
1159,1
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,1
1167,1
1168,0
1169,0
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,1
1181,1
1182,1
1183,1
1184,0
1185,1
1186,1
1187,1
1188,0
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,1
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,0
1220,0
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,1
1228,1
1229,0
