id,Salary_Changes
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,1
529,1
530,0
